Location,Tv,Air_conditioner,Refrigerator,Water_heater,Modern_Wardrobe,Back_up_power_supply,Gym,Elevator,Modernized_bathrooms,Room size,Number of people in a room,Historical pricing data,Current Price
Kotei,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3,3,4120,5768.0
Ayeduase,No,Yes,No,Yes,No,Yes,Yes,No,Yes,4,4,3030,4545.0
Bomsu,Yes,No,Yes,Yes,No,Yes,No,Yes,No,2,2,4610,5071.0
Bomsu,Yes,No,Yes,No,Yes,No,No,No,No,2,2,4240,4664.0
Kotei,Yes,No,No,Yes,Yes,No,No,Yes,No,4,4,2900,4059.9999999999995
Campus,No,Yes,No,No,No,No,No,Yes,Yes,2,2,4420,7072.0
Boadi,Yes,No,Yes,No,No,Yes,No,No,No,3,3,3850,5005.0
Boadi,Yes,No,Yes,Yes,No,No,No,Yes,Yes,4,4,3080,4004.0
Ayeduase,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,3,4230,6345.0
Tech junction,No,No,Yes,Yes,No,Yes,Yes,Yes,No,2,2,4610,5993.0
Atonsu,No,No,No,No,No,Yes,Yes,No,No,2,2,4250,5525.0
Boadi,No,No,No,No,No,No,Yes,Yes,Yes,3,3,3920,5096.0
Tech junction,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,6870,8931.0
Ayeduase,No,Yes,Yes,No,No,Yes,No,Yes,Yes,4,4,3170,4755.0
Boadi,No,Yes,No,No,No,No,Yes,Yes,Yes,1,1,6520,8476.0
Ayeduase,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1,1,6710,10065.0
Ayeduase,Yes,No,Yes,Yes,No,Yes,No,No,Yes,1,1,6530,9795.0
Atonsu,Yes,No,No,Yes,No,Yes,Yes,Yes,No,3,3,4110,5343.0
Newsite,Yes,Yes,Yes,No,No,No,No,Yes,No,2,2,4500,4950.0
Bomsu,No,Yes,No,Yes,No,No,Yes,No,Yes,4,4,2880,3168.0000000000005
Kotei,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,3,3,4020,5628.0
Bomsu,Yes,Yes,No,No,No,No,No,Yes,No,2,2,4400,4840.0
Tech junction,No,No,No,Yes,No,Yes,Yes,Yes,No,1,1,6510,8463.0
Ayeduase,Yes,No,No,Yes,Yes,No,No,Yes,No,1,1,6400,9600.0
Bomsu,No,No,Yes,Yes,Yes,No,Yes,Yes,No,3,3,4000,4400.0
Newsite,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,6830,7513.000000000001
Campus,No,Yes,Yes,No,Yes,No,Yes,No,No,1,1,6340,10144.0
Kotei,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,2,2,4660,6524.0
Ayeduase,Yes,No,Yes,Yes,No,No,No,No,Yes,3,3,3880,5820.0
Bomsu,No,Yes,Yes,No,Yes,No,Yes,Yes,No,4,4,3040,3344.0000000000005
Boadi,No,Yes,Yes,No,Yes,Yes,No,No,No,2,2,4390,5707.0
Ayeduase,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,2,2,4630,6945.0
Boadi,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,3,3,4180,5434.0
Tech junction,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1,1,6650,8645.0
Boadi,No,No,Yes,Yes,Yes,No,No,No,Yes,3,3,3820,4966.0
Bomsu,Yes,No,Yes,No,No,Yes,No,No,Yes,4,4,2970,3267.0000000000005
Tech junction,No,No,Yes,No,No,Yes,Yes,No,No,4,4,2850,3705.0
Atonsu,No,Yes,Yes,Yes,No,No,No,No,Yes,1,1,6380,8294.0
Campus,No,No,No,No,Yes,Yes,No,Yes,No,4,4,2890,4624.0
Bomsu,Yes,Yes,No,No,Yes,No,No,No,Yes,1,1,6360,6996.000000000001
Campus,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,1,6510,10416.0
Newsite,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1,1,6540,7194.000000000001
Newsite,Yes,Yes,No,No,Yes,Yes,No,No,No,2,2,4390,4829.0
Bomsu,No,No,Yes,No,Yes,Yes,Yes,Yes,No,4,4,3090,3399.0000000000005
Tech junction,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4,4,3270,4251.0
Tech junction,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4,4,3070,3991.0
Kotei,No,No,No,No,Yes,Yes,No,No,Yes,1,1,6310,8834.0
Kotei,No,Yes,No,Yes,No,No,No,Yes,Yes,1,1,6480,9072.0
Campus,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,4,4,3020,4832.0
Bomsu,No,Yes,Yes,No,No,Yes,Yes,No,No,4,4,2950,3245.0000000000005
Campus,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,4,3250,5200.0
Campus,No,No,Yes,No,Yes,No,Yes,Yes,No,2,2,4440,7104.0
Tech junction,Yes,Yes,No,No,No,No,Yes,Yes,No,3,3,4000,5200.0
Campus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,6830,10928.0
Kotei,No,Yes,Yes,No,No,Yes,Yes,No,No,3,3,3950,5530.0
Campus,Yes,Yes,No,Yes,No,Yes,No,No,No,2,2,4410,7056.0
Newsite,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,4,4,3220,3542.0000000000005
Ayeduase,Yes,No,Yes,No,No,No,No,No,No,1,1,6200,9300.0
Newsite,Yes,Yes,No,No,Yes,Yes,Yes,No,No,2,2,4490,4939.0
Campus,No,No,Yes,No,Yes,Yes,Yes,No,Yes,4,4,3010,4816.0
Campus,No,No,Yes,Yes,No,No,Yes,No,Yes,3,3,3880,6208.0
Tech junction,Yes,No,Yes,No,No,No,No,Yes,Yes,3,3,4020,5226.0
Atonsu,Yes,Yes,Yes,No,No,Yes,Yes,No,No,4,4,3050,3965.0
Kotei,No,No,Yes,Yes,No,Yes,Yes,No,No,1,1,6410,8974.0
Kotei,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,1,6810,9534.0
Tech junction,No,No,No,Yes,No,No,Yes,Yes,No,2,2,4360,5668.0
Bomsu,Yes,No,No,No,No,No,Yes,Yes,Yes,4,4,3020,3322.0000000000005
Tech junction,No,No,No,Yes,No,Yes,No,No,No,1,1,6210,8073.0
Kotei,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,1,1,6520,9128.0
Newsite,Yes,Yes,No,Yes,No,No,Yes,No,Yes,2,2,4480,4928.0
Boadi,No,No,No,No,No,No,No,Yes,Yes,3,3,3820,4966.0
Boadi,Yes,Yes,No,Yes,No,No,Yes,Yes,No,2,2,4560,5928.0
Campus,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2,2,4750,7600.0
Newsite,No,Yes,No,Yes,No,Yes,No,Yes,Yes,2,2,4630,5093.0
Campus,No,No,No,Yes,Yes,No,No,Yes,No,4,4,2800,4480.0
Newsite,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,4,4,3050,3355.0000000000005
Campus,No,Yes,Yes,No,Yes,Yes,Yes,No,No,4,4,2990,4784.0
Boadi,Yes,Yes,No,Yes,No,No,Yes,No,No,1,1,6360,8268.0
Campus,No,Yes,No,No,Yes,No,Yes,No,Yes,2,2,4360,6976.0
Kotei,No,No,No,Yes,Yes,No,Yes,No,Yes,1,1,6320,8848.0
Campus,No,No,No,No,Yes,No,No,Yes,Yes,1,1,6360,10176.0
Atonsu,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,2,4700,6110.0
Campus,Yes,Yes,No,Yes,No,Yes,No,Yes,No,3,3,4110,6576.0
Newsite,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1,1,6470,7117.000000000001
Newsite,Yes,No,No,No,Yes,No,Yes,No,Yes,1,1,6360,6996.000000000001
Kotei,No,Yes,No,No,Yes,Yes,No,No,Yes,4,4,2910,4073.9999999999995
Atonsu,No,No,No,No,No,No,No,Yes,Yes,4,4,2820,3666.0
Boadi,No,No,No,No,Yes,No,Yes,No,Yes,1,1,6260,8138.0
Ayeduase,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2,2,4710,7065.0
Boadi,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,2,4730,6149.0
Tech junction,Yes,No,Yes,No,Yes,No,No,No,No,4,4,2740,3562.0
Atonsu,Yes,No,Yes,No,No,Yes,Yes,No,No,3,3,3950,5135.0
Tech junction,Yes,No,Yes,No,Yes,No,Yes,No,Yes,4,4,2960,3848.0
Boadi,Yes,Yes,Yes,No,No,Yes,No,No,No,4,4,2950,3835.0
Atonsu,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,3,3,4000,5200.0
Tech junction,No,Yes,No,No,Yes,Yes,No,Yes,Yes,1,1,6610,8593.0
Campus,Yes,Yes,No,No,Yes,No,Yes,No,Yes,3,3,3960,6336.0
Atonsu,No,No,No,Yes,Yes,Yes,Yes,No,No,4,4,2850,3705.0
Bomsu,Yes,No,No,No,No,No,No,No,No,3,3,3600,3960.0000000000005
Bomsu,No,Yes,Yes,No,Yes,No,Yes,Yes,No,2,2,4540,4994.0
Atonsu,No,No,No,Yes,Yes,No,Yes,Yes,Yes,3,3,4020,5226.0
Kotei,No,Yes,No,No,Yes,No,Yes,Yes,Yes,3,3,4060,5684.0
Newsite,No,No,No,Yes,No,No,Yes,No,Yes,3,3,3780,4158.0
Newsite,Yes,No,No,No,No,Yes,No,No,No,2,2,4250,4675.0
Tech junction,No,Yes,No,Yes,Yes,No,Yes,Yes,No,1,1,6500,8450.0
Kotei,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,3270,4578.0
Campus,No,No,Yes,No,Yes,Yes,No,Yes,No,2,2,4490,7184.0
Newsite,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2,2,4710,5181.0
Kotei,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,4,2950,4130.0
Bomsu,No,No,Yes,Yes,No,Yes,No,Yes,Yes,3,3,4130,4543.0
Tech junction,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,2,2,4650,6045.0
Newsite,Yes,Yes,No,Yes,Yes,No,No,Yes,No,2,2,4500,4950.0
Kotei,No,No,No,Yes,No,Yes,No,Yes,Yes,4,4,3030,4242.0
Bomsu,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4,4,3370,3707.0000000000005
Atonsu,Yes,No,Yes,Yes,No,Yes,No,No,Yes,2,2,4530,5889.0
Tech junction,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,4310,5603.0
Bomsu,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,3,3,4170,4587.0
Bomsu,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,1,6500,7150.000000000001
Newsite,No,Yes,No,No,No,No,No,No,No,2,2,4100,4510.0
Campus,Yes,Yes,No,No,No,No,No,Yes,Yes,1,1,6520,10432.0
Campus,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3,3,4180,6688.0
Campus,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3,3,4110,6576.0
Tech junction,No,No,No,Yes,No,No,Yes,Yes,Yes,4,4,2980,3874.0
